attributes.WiFi,attributes.GoodForKids,attributes.RestaurantsPriceRange2,attributes.RestaurantsTakeOut,stars,attributes.RestaurantsDelivery,categories,business_id,postal_code
no,True,2,True,3.5,True,"Restaurants, Thai",D4JtQNTI4X3KcbzacDJsMw,V5V
free,True,2,True,4.0,True,"Food Delivery Services, Food, Restaurants, Mediterranean, Greek, Pizza",QciD6FbNklaJvUbLExD4Nw,V5G 1G4
free,True,2,True,3.5,True,"Restaurants, Indian",AaNj_9KNy9t1H1cu1NCNLQ,V7J 3V8
free,True,2,True,3.5,True,"Canadian (New), Cocktail Bars, Bars, Nightlife, Restaurants, Sushi Bars",XqaO85CV9Km7m_aQ3iIpRA,V6Y 2B6
free,True,1,True,2.5,True,"Restaurants, Pizza",FYdXoYjeG8U59mhRqS7k5g,V3B 5R5
free,True,2,True,3.5,True,"Food, Ethnic Food, Mexican, Specialty Food, Restaurants",hrCpuDlWfbFHHr9I8W6O-A,V7M 3K7
free,True,1,True,2.0,True,"Burgers, Restaurants, Coffee & Tea, Fast Food, Food",wat2sEhiFtl41azQ0UBjSg,V3J 1N7
free,True,2,True,3.5,True,"Restaurants, Italian, Pizza",iq2n_LJgdZZ6FpoQZTpD2g,V7M 1R7
free,False,2,False,4.0,False,"Canadian (New), Tapas/Small Plates, Restaurants, Nightlife, Wine Bars, Bars",9JRIp0cJUtCV_-riFGmDnQ,V7B 1Y7
no,True,2,True,3.5,True,"Japanese, Restaurants, Sushi Bars",mvCO6pRpfMB0_1GLlwgZRw,V5Y 4A8
free,True,2,True,3.5,True,"Asian Fusion, Chinese, Restaurants",Z1eRppVpwQXgzAxAc1unTA,V5E 1C5
free,True,2,True,3.5,True,"Burgers, Restaurants",jyBiQI0XtESTGHXODCFsJQ,V6J 1M4
no,True,2,True,4.0,True,"Restaurants, Vietnamese",EvVCF3mompCg3PPkpqip2A,V6K 2G3
free,True,2,True,4.0,True,"Asian Fusion, Japanese, Sushi Bars, Restaurants",rDLPdfI6TOsQlTf6AQaCTA,V4C 6P5
free,False,2,True,3.5,True,"Canadian (New), Food, Beer, Wine & Spirits, Gastropubs, Burgers, American (Traditional), Restaurants",JcxSnoXt1q6LdSEgwJsdRQ,V5Z 3J2
no,True,1,True,4.5,False,"Restaurants, Food Trucks, Middle Eastern, Lebanese, Street Vendors, Food",WJJajrWufzhcnaP43jPIDA,V6E 1B2
free,False,2,False,4.0,False,"Restaurants, French, Cafes",w3HSOOqJednBOYbO3fajvQ,V5T 2R6
no,True,2,True,4.0,False,"Filipino, Restaurants",lYy9T8B4al08kHXSDuUZjQ,V6X
free,False,2,True,1.0,True,"Food Delivery Services, Restaurants, Chicken Wings, Pizza, Food, Italian",kqhHw_9KA30_RYk66mMbJA,V3L 2B8
no,True,2,True,2.0,False,"Vietnamese, Restaurants",slBGJOdBV1KHzNoWf2e2FQ,V5M 3M4
no,True,1,True,2.5,True,"Restaurants, Vietnamese",01FeyfdV1IozLwDntJW49A,V5H 2G1
no,True,1,True,4.5,False,"Food, Cafes, Ice Cream & Frozen Yogurt, Restaurants",miw4H3j5vBJvU3x-CPjtaA,V7A 1X4
free,True,1,True,3.0,False,"Restaurants, Japanese, Sushi Bars",_aGG6e3dWYrKyFNpdK_vpA,V6Z 1V3
free,True,1,True,4.5,False,"Restaurants, Coffee & Tea, Specialty Food, Food, Cafes, Macarons",SC1OR4VRY5chOZkDXvIGVw,V3K 3P3
no,True,1,True,3.0,True,"Pizza, Restaurants",ZkwdIVRaUpsxG6vNq1-0_A,V5R 6B8
free,True,2,True,3.0,True,"Sandwiches, Salad, Soup, Restaurants",C8K5GvhWNYY4zBijgekT3g,V5T 1B4
no,True,1,True,3.5,False,"Restaurants, Noodles, Vietnamese, Thai",ZHbiidBB8LVmh_hQQbRjig,V5T 1W6
no,True,2,True,3.5,True,"Seafood, Restaurants, Fish & Chips",gAjatT2KWVbEI6dVa-Kd0A,V6H 3R5
free,True,2,True,3.5,True,"Restaurants, Nightlife, Gluten-Free, Bars, Canadian (New), Food, Food Delivery Services, Cocktail Bars, American (New)",u-tcnG8zdDG8QWYTctxyfg,V5Z 1E6
paid,False,2,True,2.0,False,"Chinese, Restaurants",EwmbXInzS4A9LuFG6C3Otg,V6X 1C3
no,True,2,True,3.5,True,"Chinese, Restaurants, Vegetarian",EGsftsHMWmKF3mc2UQoQug,V3B 6P2
free,True,1,True,3.5,False,"Thai, Chinese, Food Court, Restaurants",-7yf2-ax6xpxCXPpHHfNLA,V6X 4J7
free,True,1,True,3.5,False,"Coffee & Tea, Bakeries, Food, Fast Food, Restaurants",viTut7TZzcR2Q8HAtqe8Zw,V6E 1C2
free,True,2,True,4.0,True,"Restaurants, Seafood, Nightlife, American (Traditional), Bars",WPrY9K874pABkAqSxO17nw,V6E 4R5
no,True,2,True,3.5,True,"Restaurants, Sandwiches, Salad, Pizza",C6tq0vJ8PlWA6kg0h4oNrQ,V5E 3B1
free,True,1,True,3.5,True,"Noodles, Vietnamese, Restaurants",TylHuTK8-iNoHuyAlDMGzg,V7P
no,True,1,True,3.0,False,"Burgers, Breakfast & Brunch, Restaurants, Fast Food",TR4Zrt-_I_a9rVoZqfyMOQ,V7B 0A5
free,True,2,True,3.5,True,"Restaurants, Malaysian",Zya97y9YEQwu3pPLDyIw3g,V3M 1K1
free,True,2,True,3.5,False,"Restaurants, Chinese",sNDfYZP9OYypywbi33aSxw,V6X 3K2
free,True,2,True,4.5,True,"Ramen, Japanese, Noodles, Restaurants",jMz_y_-cWMfiZF7Q5snE6Q,V6E 2B1
no,True,2,True,3.5,True,"Food, Restaurants, Vietnamese",yNSC_jiaEfMAZBeLU77G4Q,V7E 6N2
no,True,2,True,4.0,False,"Delis, Restaurants, Sandwiches",DockITs-bpugPUfDb2B5Pw,V7R 2X4
no,True,2,True,3.5,False,"Restaurants, Sushi Bars, Japanese",uo8kklLY1LK9mh11BPwywQ,V6Y 3Y8
free,True,2,True,3.0,False,"Dim Sum, Restaurants, Seafood, Chinese",pmvBtlp2MrU0P8jjqdzwLw,V6X 2X9
no,True,1,True,3.0,True,"Restaurants, Pizza",DMKyE389ZrR_QRLZ66tI-A,V5W 2Z6
no,True,2,True,3.0,True,"Breakfast & Brunch, Pizza, Coffee & Tea, Italian, Restaurants, Bakeries, Food, Cafes",MgFQdSQPSYFb6psj3IAukA,V6E 0A7
free,True,2,True,3.5,True,"Restaurants, Chinese, Food Delivery Services, Food",-iSOU5YVdL-YSi_RERqsLQ,V7M 2K2
free,True,2,True,3.5,True,"Restaurants, Thai, Event Planning & Services, Caterers, Fast Food",aD18kOm0GdpRqhhPaGij1A,V5Z 2W6
free,False,2,True,3.0,False,"Desserts, Coffee & Tea, Restaurants, Food, Cafes",RE1rAEW-vcvF2vTREVsYkw,V6B 3G7
free,True,2,True,3.0,False,"Do-It-Yourself Food, Asian Fusion, Chinese, Restaurants, Hot Pot, Food",QedyPzAxGa2PHn1ROX-RYQ,V5P 3V2
free,True,2,True,3.5,False,"Gluten-Free, Fast Food, Restaurants",8XLNTHnXfnPsCz3s6K1HCQ,V6E 2P4
no,True,2,True,4.0,True,"Portuguese, African, Restaurants",2CPRilIBJKdS2ogtkgSOrw,V7T 2Z3
free,True,2,True,4.5,True,"Restaurants, Japanese, Sushi Bars",t6eEIUaZK97tEejpDNa4cw,V3J 7R4
no,False,1,True,4.5,False,"Food, Chinese, Ethnic Food, Restaurants, Specialty Food",Qdb0TfxiBkL3rnQxUc26eQ,V5M 4P4
free,True,2,True,4.0,True,"Specialty Food, Grocery, Restaurants, Imported Food, Mexican, International Grocery, Food",6PFzidqH3oSNK5eXOHNBIQ,V6Z
no,True,3,True,2.5,False,"Seafood, Restaurants",stLI_6xiiWpS75gkTosMow,V3M 6G1
free,True,2,True,3.0,False,"Italian, Restaurants",nFPIv5ybjhxhpGg7eERa1g,V6W 1K3
free,True,1,True,4.0,False,"Cafes, Restaurants",D02tg_m6dxwgz0473aYDfA,V6T 1Z2
free,True,1,True,3.0,False,"Restaurants, Barbeque, Bars, Sports Bars, Chinese, Asian Fusion, Nightlife, Breakfast & Brunch",l5Vqa-vIRfKl1raShwA9Cg,V6X 1E4
free,True,2,True,4.0,True,"Indian, Pakistani, Restaurants, Ethnic Food, Food, Beer, Wine & Spirits, Specialty Food",VCiopspKLHelqobEsSeNxw,V5V 3E3
free,True,2,True,3.0,True,"Greek, Mediterranean, Restaurants",xShqhti6TQo5kxWs2fszJQ,V6J 5L1
free,True,1,True,4.0,True,"Restaurants, Food, Cafes, Farmers Market",CDs00iscBthgDr3Uk0iluA,V7G 1K8
free,True,1,True,3.5,True,"Soup, Restaurants, Chinese, Noodles",QhR8qEJQrc9j-b7LEhsYWw,V6Z 1B9
free,True,2,True,3.0,True,"Restaurants, Mexican, Burgers",6wzztDGSDViDWp27tBGoSQ,V5L 3X9
free,True,2,True,2.5,False,"Specialty Food, Mediterranean, Ethnic Food, Restaurants, Greek, Pizza, Food",VqlbLm9l_1xP_ntXss_K5w,V5E 1C5
free,True,2,True,4.0,False,"Hot Pot, Restaurants",eEg1-QNbSlMOW3G83SjXqA,V6X 3J3
no,True,1,True,3.0,False,"Chinese, Restaurants",KE3YzmjQj1yER15kZRMpTQ,V5H 2A9
free,True,1,True,1.5,True,"Burgers, Fast Food, Restaurants",14n6p6CEs9mU39CN9c1Wlw,V3E 1K9
free,False,2,True,3.5,False,"Bars, Nightlife, Canadian (New), Restaurants",_FilivvpCbfT3vac3P_oiA,V6C 3B2
no,True,1,True,4.0,True,"Restaurants, Vietnamese, Sandwiches",NgmXFr8voEb6dcSLNn3YvA,V3N 1B3
no,True,2,True,3.0,False,"Restaurants, Imported Food, Mediterranean, Ethnic Food, Greek, Specialty Food, Food",YzGFmuNvRGiofHL_dlmFPw,V5H 1Y5
no,True,2,True,3.0,False,"Restaurants, Japanese, Sushi Bars",ebDkMoVniudWp992L7xcUw,V6Y 2V7
no,True,1,True,4.0,True,"Chinese, Breakfast & Brunch, Creperies, Restaurants",_KK19pnL3xI45NzTikdJlA,V6B 1V5
free,True,1,True,4.0,False,"Restaurants, Breakfast & Brunch, Coffee & Tea, Chinese, Food",H53_vmbw_LrmbR5gaF5dhw,V5V 3C4
free,True,2,True,3.5,False,"Ice Cream & Frozen Yogurt, Food, Desserts, Korean, Restaurants",vbuP3Hi6rrDjO4Ppgcm9Wg,V5H 2B3
free,True,1,True,3.0,True,"Mediterranean, Restaurants, Cafes",lbOpkv-F4wS4lb8MouP0DA,V6B 5J3
free,True,2,True,3.0,True,"Burgers, Fast Food, Sandwiches, Restaurants",85fPeMJzdZhHm9lpv93SCw,V7T 0A5
no,True,2,True,4.0,True,"Indian, Restaurants",QxNVmWT2UXjbJrYuOqlCMQ,V6K 2G7
no,False,4,False,4.5,False,"French, Restaurants",OUzfOoeRg_OY4MChz7VguA,V6C 3E1
free,True,2,True,4.0,False,"Indian, Restaurants",H_FnkCyewR2VktkY2y7g0A,V3W 3A6
free,True,2,True,3.5,True,"Sushi Bars, Restaurants",TRYXC-fnNuWe41w-7xVLew,V5V 3N7
free,True,2,True,2.5,False,"Seafood, Restaurants, Chinese, Dim Sum",90XZXjKo4ol0BqyOBQoJ8g,V6A 4E9
free,True,2,True,2.5,True,"Japanese, Restaurants, Sushi Bars",3KqpiLDAjeeMmZeU-Il_ng,V7E 1T6
free,True,2,True,3.0,True,"Restaurants, Persian/Iranian",yC4gpFC-fsfbPt-Zp88WoA,V3H 2C7
free,True,2,True,4.5,True,"Specialty Food, Event Planning & Services, Restaurants, Sandwiches, Food, Breakfast & Brunch, Caterers, Cafes, Delicatessen, Italian",cLGh_q9jWTpp53tsj29S-w,V6B 2L3
no,True,2,True,3.5,True,"Restaurants, Pizza",ZzbZclhVOFDj5nNorQAFwg,V3C
