business_id,attributes.RestaurantsTakeOut,attributes.GoodForKids,postal_code,categories,attributes.RestaurantsPriceRange2,attributes.WiFi,attributes.RestaurantsDelivery,stars
D4JtQNTI4X3KcbzacDJsMw,True,True,V5V,"Restaurants, Thai",2,no,True,3.5
QciD6FbNklaJvUbLExD4Nw,True,True,V5G 1G4,"Food Delivery Services, Food, Restaurants, Mediterranean, Greek, Pizza",2,free,True,4.0
AaNj_9KNy9t1H1cu1NCNLQ,True,True,V7J 3V8,"Restaurants, Indian",2,free,True,3.5
XqaO85CV9Km7m_aQ3iIpRA,True,True,V6Y 2B6,"Canadian (New), Cocktail Bars, Bars, Nightlife, Restaurants, Sushi Bars",2,free,True,3.5
FYdXoYjeG8U59mhRqS7k5g,True,True,V3B 5R5,"Restaurants, Pizza",1,free,True,2.5
hrCpuDlWfbFHHr9I8W6O-A,True,True,V7M 3K7,"Food, Ethnic Food, Mexican, Specialty Food, Restaurants",2,free,True,3.5
wat2sEhiFtl41azQ0UBjSg,True,True,V3J 1N7,"Burgers, Restaurants, Coffee & Tea, Fast Food, Food",1,free,True,2.0
iq2n_LJgdZZ6FpoQZTpD2g,True,True,V7M 1R7,"Restaurants, Italian, Pizza",2,free,True,3.5
9JRIp0cJUtCV_-riFGmDnQ,False,False,V7B 1Y7,"Canadian (New), Tapas/Small Plates, Restaurants, Nightlife, Wine Bars, Bars",2,free,False,4.0
mvCO6pRpfMB0_1GLlwgZRw,True,True,V5Y 4A8,"Japanese, Restaurants, Sushi Bars",2,no,True,3.5
Z1eRppVpwQXgzAxAc1unTA,True,True,V5E 1C5,"Asian Fusion, Chinese, Restaurants",2,free,True,3.5
jyBiQI0XtESTGHXODCFsJQ,True,True,V6J 1M4,"Burgers, Restaurants",2,free,True,3.5
EvVCF3mompCg3PPkpqip2A,True,True,V6K 2G3,"Restaurants, Vietnamese",2,no,True,4.0
rDLPdfI6TOsQlTf6AQaCTA,True,True,V4C 6P5,"Asian Fusion, Japanese, Sushi Bars, Restaurants",2,free,True,4.0
JcxSnoXt1q6LdSEgwJsdRQ,True,False,V5Z 3J2,"Canadian (New), Food, Beer, Wine & Spirits, Gastropubs, Burgers, American (Traditional), Restaurants",2,free,True,3.5
WJJajrWufzhcnaP43jPIDA,True,True,V6E 1B2,"Restaurants, Food Trucks, Middle Eastern, Lebanese, Street Vendors, Food",1,no,False,4.5
w3HSOOqJednBOYbO3fajvQ,False,False,V5T 2R6,"Restaurants, French, Cafes",2,free,False,4.0
lYy9T8B4al08kHXSDuUZjQ,True,True,V6X,"Filipino, Restaurants",2,no,False,4.0
kqhHw_9KA30_RYk66mMbJA,True,False,V3L 2B8,"Food Delivery Services, Restaurants, Chicken Wings, Pizza, Food, Italian",2,free,True,1.0
slBGJOdBV1KHzNoWf2e2FQ,True,True,V5M 3M4,"Vietnamese, Restaurants",2,no,False,2.0
01FeyfdV1IozLwDntJW49A,True,True,V5H 2G1,"Restaurants, Vietnamese",1,no,True,2.5
miw4H3j5vBJvU3x-CPjtaA,True,True,V7A 1X4,"Food, Cafes, Ice Cream & Frozen Yogurt, Restaurants",1,no,False,4.5
_aGG6e3dWYrKyFNpdK_vpA,True,True,V6Z 1V3,"Restaurants, Japanese, Sushi Bars",1,free,False,3.0
SC1OR4VRY5chOZkDXvIGVw,True,True,V3K 3P3,"Restaurants, Coffee & Tea, Specialty Food, Food, Cafes, Macarons",1,free,False,4.5
ZkwdIVRaUpsxG6vNq1-0_A,True,True,V5R 6B8,"Pizza, Restaurants",1,no,True,3.0
C8K5GvhWNYY4zBijgekT3g,True,True,V5T 1B4,"Sandwiches, Salad, Soup, Restaurants",2,free,True,3.0
ZHbiidBB8LVmh_hQQbRjig,True,True,V5T 1W6,"Restaurants, Noodles, Vietnamese, Thai",1,no,False,3.5
gAjatT2KWVbEI6dVa-Kd0A,True,True,V6H 3R5,"Seafood, Restaurants, Fish & Chips",2,no,True,3.5
u-tcnG8zdDG8QWYTctxyfg,True,True,V5Z 1E6,"Restaurants, Nightlife, Gluten-Free, Bars, Canadian (New), Food, Food Delivery Services, Cocktail Bars, American (New)",2,free,True,3.5
EwmbXInzS4A9LuFG6C3Otg,True,False,V6X 1C3,"Chinese, Restaurants",2,paid,False,2.0
EGsftsHMWmKF3mc2UQoQug,True,True,V3B 6P2,"Chinese, Restaurants, Vegetarian",2,no,True,3.5
-7yf2-ax6xpxCXPpHHfNLA,True,True,V6X 4J7,"Thai, Chinese, Food Court, Restaurants",1,free,False,3.5
viTut7TZzcR2Q8HAtqe8Zw,True,True,V6E 1C2,"Coffee & Tea, Bakeries, Food, Fast Food, Restaurants",1,free,False,3.5
WPrY9K874pABkAqSxO17nw,True,True,V6E 4R5,"Restaurants, Seafood, Nightlife, American (Traditional), Bars",2,free,True,4.0
C6tq0vJ8PlWA6kg0h4oNrQ,True,True,V5E 3B1,"Restaurants, Sandwiches, Salad, Pizza",2,no,True,3.5
TylHuTK8-iNoHuyAlDMGzg,True,True,V7P,"Noodles, Vietnamese, Restaurants",1,free,True,3.5
TR4Zrt-_I_a9rVoZqfyMOQ,True,True,V7B 0A5,"Burgers, Breakfast & Brunch, Restaurants, Fast Food",1,no,False,3.0
Zya97y9YEQwu3pPLDyIw3g,True,True,V3M 1K1,"Restaurants, Malaysian",2,free,True,3.5
sNDfYZP9OYypywbi33aSxw,True,True,V6X 3K2,"Restaurants, Chinese",2,free,False,3.5
jMz_y_-cWMfiZF7Q5snE6Q,True,True,V6E 2B1,"Ramen, Japanese, Noodles, Restaurants",2,free,True,4.5
yNSC_jiaEfMAZBeLU77G4Q,True,True,V7E 6N2,"Food, Restaurants, Vietnamese",2,no,True,3.5
DockITs-bpugPUfDb2B5Pw,True,True,V7R 2X4,"Delis, Restaurants, Sandwiches",2,no,False,4.0
uo8kklLY1LK9mh11BPwywQ,True,True,V6Y 3Y8,"Restaurants, Sushi Bars, Japanese",2,no,False,3.5
pmvBtlp2MrU0P8jjqdzwLw,True,True,V6X 2X9,"Dim Sum, Restaurants, Seafood, Chinese",2,free,False,3.0
DMKyE389ZrR_QRLZ66tI-A,True,True,V5W 2Z6,"Restaurants, Pizza",1,no,True,3.0
MgFQdSQPSYFb6psj3IAukA,True,True,V6E 0A7,"Breakfast & Brunch, Pizza, Coffee & Tea, Italian, Restaurants, Bakeries, Food, Cafes",2,no,True,3.0
-iSOU5YVdL-YSi_RERqsLQ,True,True,V7M 2K2,"Restaurants, Chinese, Food Delivery Services, Food",2,free,True,3.5
aD18kOm0GdpRqhhPaGij1A,True,True,V5Z 2W6,"Restaurants, Thai, Event Planning & Services, Caterers, Fast Food",2,free,True,3.5
RE1rAEW-vcvF2vTREVsYkw,True,False,V6B 3G7,"Desserts, Coffee & Tea, Restaurants, Food, Cafes",2,free,False,3.0
QedyPzAxGa2PHn1ROX-RYQ,True,True,V5P 3V2,"Do-It-Yourself Food, Asian Fusion, Chinese, Restaurants, Hot Pot, Food",2,free,False,3.0
8XLNTHnXfnPsCz3s6K1HCQ,True,True,V6E 2P4,"Gluten-Free, Fast Food, Restaurants",2,free,False,3.5
2CPRilIBJKdS2ogtkgSOrw,True,True,V7T 2Z3,"Portuguese, African, Restaurants",2,no,True,4.0
t6eEIUaZK97tEejpDNa4cw,True,True,V3J 7R4,"Restaurants, Japanese, Sushi Bars",2,free,True,4.5
Qdb0TfxiBkL3rnQxUc26eQ,True,False,V5M 4P4,"Food, Chinese, Ethnic Food, Restaurants, Specialty Food",1,no,False,4.5
6PFzidqH3oSNK5eXOHNBIQ,True,True,V6Z,"Specialty Food, Grocery, Restaurants, Imported Food, Mexican, International Grocery, Food",2,free,True,4.0
stLI_6xiiWpS75gkTosMow,True,True,V3M 6G1,"Seafood, Restaurants",3,no,False,2.5
nFPIv5ybjhxhpGg7eERa1g,True,True,V6W 1K3,"Italian, Restaurants",2,free,False,3.0
D02tg_m6dxwgz0473aYDfA,True,True,V6T 1Z2,"Cafes, Restaurants",1,free,False,4.0
l5Vqa-vIRfKl1raShwA9Cg,True,True,V6X 1E4,"Restaurants, Barbeque, Bars, Sports Bars, Chinese, Asian Fusion, Nightlife, Breakfast & Brunch",1,free,False,3.0
VCiopspKLHelqobEsSeNxw,True,True,V5V 3E3,"Indian, Pakistani, Restaurants, Ethnic Food, Food, Beer, Wine & Spirits, Specialty Food",2,free,True,4.0
xShqhti6TQo5kxWs2fszJQ,True,True,V6J 5L1,"Greek, Mediterranean, Restaurants",2,free,True,3.0
CDs00iscBthgDr3Uk0iluA,True,True,V7G 1K8,"Restaurants, Food, Cafes, Farmers Market",1,free,True,4.0
QhR8qEJQrc9j-b7LEhsYWw,True,True,V6Z 1B9,"Soup, Restaurants, Chinese, Noodles",1,free,True,3.5
6wzztDGSDViDWp27tBGoSQ,True,True,V5L 3X9,"Restaurants, Mexican, Burgers",2,free,True,3.0
VqlbLm9l_1xP_ntXss_K5w,True,True,V5E 1C5,"Specialty Food, Mediterranean, Ethnic Food, Restaurants, Greek, Pizza, Food",2,free,False,2.5
eEg1-QNbSlMOW3G83SjXqA,True,True,V6X 3J3,"Hot Pot, Restaurants",2,free,False,4.0
KE3YzmjQj1yER15kZRMpTQ,True,True,V5H 2A9,"Chinese, Restaurants",1,no,False,3.0
14n6p6CEs9mU39CN9c1Wlw,True,True,V3E 1K9,"Burgers, Fast Food, Restaurants",1,free,True,1.5
_FilivvpCbfT3vac3P_oiA,True,False,V6C 3B2,"Bars, Nightlife, Canadian (New), Restaurants",2,free,False,3.5
NgmXFr8voEb6dcSLNn3YvA,True,True,V3N 1B3,"Restaurants, Vietnamese, Sandwiches",1,no,True,4.0
YzGFmuNvRGiofHL_dlmFPw,True,True,V5H 1Y5,"Restaurants, Imported Food, Mediterranean, Ethnic Food, Greek, Specialty Food, Food",2,no,False,3.0
ebDkMoVniudWp992L7xcUw,True,True,V6Y 2V7,"Restaurants, Japanese, Sushi Bars",2,no,False,3.0
_KK19pnL3xI45NzTikdJlA,True,True,V6B 1V5,"Chinese, Breakfast & Brunch, Creperies, Restaurants",1,no,True,4.0
H53_vmbw_LrmbR5gaF5dhw,True,True,V5V 3C4,"Restaurants, Breakfast & Brunch, Coffee & Tea, Chinese, Food",1,free,False,4.0
vbuP3Hi6rrDjO4Ppgcm9Wg,True,True,V5H 2B3,"Ice Cream & Frozen Yogurt, Food, Desserts, Korean, Restaurants",2,free,False,3.5
lbOpkv-F4wS4lb8MouP0DA,True,True,V6B 5J3,"Mediterranean, Restaurants, Cafes",1,free,True,3.0
85fPeMJzdZhHm9lpv93SCw,True,True,V7T 0A5,"Burgers, Fast Food, Sandwiches, Restaurants",2,free,True,3.0
QxNVmWT2UXjbJrYuOqlCMQ,True,True,V6K 2G7,"Indian, Restaurants",2,no,True,4.0
OUzfOoeRg_OY4MChz7VguA,False,False,V6C 3E1,"French, Restaurants",4,no,False,4.5
H_FnkCyewR2VktkY2y7g0A,True,True,V3W 3A6,"Indian, Restaurants",2,free,False,4.0
TRYXC-fnNuWe41w-7xVLew,True,True,V5V 3N7,"Sushi Bars, Restaurants",2,free,True,3.5
90XZXjKo4ol0BqyOBQoJ8g,True,True,V6A 4E9,"Seafood, Restaurants, Chinese, Dim Sum",2,free,False,2.5
3KqpiLDAjeeMmZeU-Il_ng,True,True,V7E 1T6,"Japanese, Restaurants, Sushi Bars",2,free,True,2.5
yC4gpFC-fsfbPt-Zp88WoA,True,True,V3H 2C7,"Restaurants, Persian/Iranian",2,free,True,3.0
cLGh_q9jWTpp53tsj29S-w,True,True,V6B 2L3,"Specialty Food, Event Planning & Services, Restaurants, Sandwiches, Food, Breakfast & Brunch, Caterers, Cafes, Delicatessen, Italian",2,free,True,4.5
ZzbZclhVOFDj5nNorQAFwg,True,True,V3C,"Restaurants, Pizza",2,no,True,3.5
Sjy1xaNHoFnejyoPo-MhUA,True,True,V6Y 3Y8,"Food, Pizza, Restaurants, Specialty Food",2,no,True,3.0
KEp4ZwX9brLj20jLTo55Qg,True,True,V5B 1R2,"Restaurants, Pizza, Italian, Food",2,free,True,3.5
9yZpfG9uP0DjDHSUQokfvw,True,True,V6X 3V9,"Restaurants, Seafood, Chinese",2,no,False,3.5
VGq9wu_ZtvonP1Rke4CxYw,True,True,V6X 2X9,"Restaurants, Food Stands, Dim Sum, Dumplings, Chinese, Food Court",1,no,False,4.0
rYDsM6XCqr1E2IYBfGxbxQ,True,True,V5E 3R7,"Food, Japanese, Juice Bars & Smoothies, Restaurants, Sushi Bars, Coffee & Tea",2,free,True,3.0
hlnLIrUMGgLMFxphB3HCWw,True,True,V5X 3T3,"Sushi Bars, Japanese, Asian Fusion, Restaurants",2,free,False,3.5
RbrRBxk7IK6ycJTtEjIe6g,True,True,V3L 3C6,"Restaurants, Chinese",2,no,True,3.5
SR8nISkNDVfAwvE3VEogwA,True,True,V5P 3V7,"Chinese, Dim Sum, Seafood, Restaurants",2,no,False,3.5
VPqWLp9kMiZEbctCebIZUA,True,True,V6B 3A4,"Bars, Moroccan, Wine Bars, Breakfast & Brunch, Nightlife, Restaurants, Middle Eastern",2,no,True,4.0
3dyhY-hBnC8ijKHgSpWdWA,True,True,V6E 1C1,"Restaurants, Thai",2,free,True,4.0
s8GuNWKlwunSdDnz84iyPw,True,True,V6X 3Z9,"Restaurants, Chinese",2,free,False,3.5
zV1y1_xdjmARGfnaOxLqVQ,True,True,V4C 6R8,"Restaurants, Indian",1,free,True,4.5
DBaxxVNg13ng0_MfosTMJw,True,True,V6Z 3G4,"Comfort Food, American (New), Restaurants, Cocktail Bars, Bars, Nightlife, Canadian (New)",2,free,True,3.5
M4jkJHewQXZvDV34Tuon8g,True,False,V6K 1E9,"Southern, Cajun/Creole, Restaurants, Seafood",2,no,False,3.5
