,business_id,name,stars,latitude,longitude
166,szPJyzsly0a5ZkehLAV1fA,Pokérrito,4.0,49.2826418,-123.1151179
307,G3jAGk0OUS_hkrsD4ERevA,Sushimoto Enterprises,4.0,49.2642588,-122.981803
369,9UThLJTuOQPLcDCLx5BVqw,Sushi By Yuji,4.0,49.2424827,-123.0598354
376,j7VmHg9M-eWZuDw-p4AIaA,Seto Japanese Restaurant,4.0,49.177587,-123.1297096
455,irdrKokOvuxP_atEjtzkQA,Green Leaf Sushi,4.0,49.2642679,-123.1801
500,NBiBIk83cYjWnFS8QTJWyg,Kaide Sushi,4.5,49.274238,-123.1270952
665,gpTJqlxw4_bI_7K_R_Fw4w,Fujiya Japanese Foods,4.0,49.2765541,-123.0768797
991,iMtUsHOqitE6Aau59K_XRg,Sushi Jin,4.5,49.2795794103,-123.1238175184
1136,e30bAA7PQfbbvZOc5LLuvA,Kimbap Cheonguk,4.5,49.2446982,-122.8918313
1355,UqqkI-YNmfpng4BKj8kxcg,Sushi Hachi Japanese Restaurant,4.5,49.1839882,-123.1266499
1450,FmD4x9ClmSzSLKOTV7jfXw,Hitoe Sushi Japanese Restaurant,4.0,49.2686543,-123.1787084
1531,o5YLdmUogknjtDzUBv5Smw,Tom Sushi,5.0,49.2816505,-123.1326617
1541,pJNRkDPA_2wLv_0Bj6fzww,Sushi K Kamizato,4.0,49.2542237,-122.7832378
1724,Cw-_dU8r4A_Z9nsCIigibA,Tatsu Japanese Bistro,4.0,49.2716228,-123.0698886
1871,OULhS4WGI_mh5gRGLZBySg,Temaki Sushi,4.0,49.263919,-123.154395
1900,HIJlNqu7VKYAxFApilHg6w,Shiro,4.0,49.2579297,-123.1146171
1939,z7aqQzhbnuoAXtFQslDsWQ,Sushi Uomo Japanese Restaurant,4.0,49.28095,-123.009199
1956,gt1BSfVFvzI-qHdJ3LUZug,Blue Water Cafe,4.5,49.276155,-123.1211291
2038,4EV_ZcQmjAmP3pmO-_nb2A,Miku,4.5,49.2870083463,-123.1130513581
2290,7_qZrRi_zs2GbnxmEAAVmQ,Sushi Bar Maumi,4.0,49.2814077446,-123.1336959084
2301,umv8zQBbJ5GgRT0qVHIpCg,Suika,4.0,49.2634105,-123.1416899
2578,p8lxRgWWIFhWuecUwWFVOg,FRESH Sushi,4.0,49.2757061,-123.1151383
2622,as2xQt48ltKKDUQbMCBrMw,Shizen Ya,4.0,49.2808844,-123.1246278
2728,i7nUiW7bxJXV0XS7R-RahQ,Green Leaf Cafe,4.0,49.2532773,-122.8984007
2883,34Fq-2nCOFN3gHPZLCqqJQ,Kimu Japanese Cuisine,4.0,49.2449191,-123.024194
3152,gV9lrbWr1CE1Jl0E58UO2g,Minami,4.0,49.2752659,-123.1208155
3461,I0r8kMimYW2BY6lINcZRFA,Kishimoto Japanese Kitchen,4.5,49.2667364,-123.0694112
3527,Ad3_MdkP35Ku17OC1ovnTg,Sushi Mania,4.0,49.2505379542,-123.1011797288
3602,qebPYEXBp8Zo_d7GY50i2w,Westcoast Poke,4.0,49.264087,-123.1138643
3641,EGp24Ifh3dltG5tEcJrJqA,Bishop's Restaurant,4.5,49.2683236,-123.1547032
4123,sz2eLUlDS6H0ict-qeyLHg,Sushi Hub,4.0,49.2411806,-123.1016703
4303,Rr6dOSMzTg6SQHEimeQt6Q,Victoria Sushi,4.0,49.213378,-122.89888
4330,TQj4HSCmm5GnriKMiSpqpQ,Raisu,4.0,49.267999042,-123.1583811343
4409,VcaNoLa56gpBWPxufnTw4w,Shizenya on Broadway,4.0,49.263875,-123.134264
4421,u3D-3lorbz_vUifEqQdJOg,Isami Sushi,4.0,49.2296568736,-123.0021539173
4555,8HH7xRjmjwzkhADZWir_Cw,Black Rice Izakaya,4.0,49.278444,-123.114329
4625,uZGQy70xpYkUzQxTpKoXaA,Yui Japanese Bistro,4.0,49.287111,-123.1247016
4631,S6QRnCQVpEqQRyszrF51bw,Ajisai Sushi Bar,4.0,49.233934,-123.1536898
4641,CjQMcgDgX_RdpSNby266oA,Tsuki Sushi Bar,4.0,49.2809829712,-123.1076583862
4652,6k1omPa3O3Kl7lSjXfCxvA,Octopus Garden,4.0,49.2726299,-123.1498174
