,business_id,name,stars,latitude,longitude
148,VPqWLp9kMiZEbctCebIZUA,Medina Cafe,4.0,49.2804429973,-123.1170362698
259,iHr346j7FGUY4JQoeEKXMA,Harvest Deli,4.5,49.2642872,-123.1717761
286,BqOSfSmwWDZzjYzIrBhyNw,Catch 122,4.0,49.2820857,-123.1076921
372,NensKn1MSVU_rm-1Y6WlFA,Marulilu Cafe,4.0,49.2633418,-123.1141032
563,VMTKdTICNrTQdzbgzIbH3Q,Rocky Mountain Flatbread,4.0,49.2478042,-123.1007361
607,L4jCuG3S-6kY0FVAyjiLNQ,Nero Waffles,4.5,49.2782787,-123.1219729
687,FFVXF_4OnzTlWITF2IH5SQ,Maizal RMF,4.5,49.2599696,-123.1014001
734,RqtEy936GDBb0ddesDqKQg,Breakfast Table,4.5,49.258568,-123.1385172
788,icnhQBqyrQ2joCRtV_OORw,Nero Belgian Waffle Bar,4.5,49.2906701,-123.1339159
853,7Tne8P5zyMpJKfpjQg2P-g,L'Abattoir,4.0,49.2831869855,-123.1044501409
980,U5qYTzxrA2uhKLtD-3PX5g,Neverland Tea Salon,4.0,49.2640001,-123.1733634
1014,zrb_IVQQ3dEGBghYuZe7vg,Paul's Omelettery Restaurant,4.0,49.2659984,-123.1387561
1101,A2LlypupTsAZLHrkja_E6w,Patisserie Lebeau,4.5,49.269650984,-123.1440829486
1112,uonaIMF0GOLC8UzKR3IaQA,Fable Diner,4.0,49.2630504,-123.1015035
1163,QmkGDL-8zexdKV3Xcn8ZYg,OEB Breakfast Co.,4.0,49.2734565,-123.119265
1311,VNxlp4ktHwwFBcHOOa0GLA,The Locus,4.0,49.2484971,-123.1014653
1321,VlV2pcklu5HY32F5MhIgIg,Le Petit Belge,4.0,49.278965668,-123.1162121147
1336,7S4ztwSFQhvHmSXUeywdBg,Just Waffles,4.5,49.2813471028,-123.0274413899
1519,LjdbthVdtLYKSi7iVAFl0g,Jam Cafe on Beatty,4.5,49.280155,-123.1095422
1521,PrKpa6Ejv1v1WvIIywYMvg,Aperture Coffee Bar,4.0,49.2632037459,-123.110469593
1578,uAROEz8D29elXoNxjnPrkQ,Twisted Fork,4.0,49.283194,-123.104445
1626,UbwADEKly9ZiNzviUJbc0w,Bandidas Taqueria,4.0,49.259773,-123.0700274
1709,LTUMWsD1uTIS-LRsmkNdBg,Scoozis,4.0,49.2858315,-123.1153183
1850,QzZfjFBnqtBZUUFlWVCd5w,Botanist,4.0,49.2880938,-123.1165232
2009,CX-NLp9SM3V2ooO9RIOhYg,Yolks,4.0,49.281081,-123.072931
2018,wsp2hTwhasGwSNe72qUB3w,Jam Cafe,4.5,49.268274,-123.154001
2234,R1yQ3WO1DT0TMZQ1AVsjAw,The Red Wagon,4.0,49.2809215,-123.0610371
2431,2rME5YVpz8HlUXmEXuR-ew,The Templeton,4.0,49.278481,-123.124598
2488,kDZTaeUaf78Jd25ktX8a8g,Number e food,5.0,49.2775691519,-123.1310182124
2586,RGCT70v8c-k6a0mwItFjGw,Greenhorn Espresso Cafe,4.0,49.2866689,-123.1341521
2604,GvuQgsZpzrbY_PuaiYnAsQ,Joe's Grill,4.0,49.2797502,-123.1299447
2659,GQK8trvjFDBuETAchTMVIA,Nemesis Coffee,4.0,49.282825,-123.11028
2662,maVufqgNOkyXx31MjiQA0A,Jackalope's Neighbourhood Dive,4.5,49.2812947,-123.0589523
2769,4lKygNwoHQNhQrNmsWPn2g,Finch's Tea & Coffee House,4.0,49.2827746,-123.1116823
2794,qXn--YHkf6GwBcgNdVA6oQ,Yolk's Breakfast,4.5,49.2811259,-123.072895
2823,t-soDjOlN6XkySHBdhRkKA,Forage,4.0,49.287051,-123.1290774
2845,vfEprSBKjcysThyHpjyxjA,Scandilicious,4.0,49.284691,-123.0655369
2860,_4R46MNkwx9MeOyt0YfNxA,Chambar,4.0,49.2801460008,-123.1099253281
3000,hqX69_8uO4VKKYCtp7FXoQ,6 Degrees Eatery,4.0,49.2916656936,-123.1283824472
3050,MimKL6DZXjW6pAB2USBADg,Score on Davie,4.0,49.2823221457,-123.1346147395
3052,CDsgvw0NHlXDP0oA1YwlqA,Birds & the Beets,4.5,49.2834553,-123.1028539
3118,OCgVYVtbOrTgR5pORFUVPw,Chewie's Chicken & Biscuits,4.5,49.2682406,-123.1687859
3759,agMh6QkfpjAxmu0O5fnNPQ,Linh Café - French Cooking,4.0,49.2682241464,-123.1690966116
3825,MHmiktXwzeR2pP8Iek1EdA,Footo Croissant,4.0,49.2782446,-123.1165993
4000,tN4yF_Vv2iyZ9pUvG6fx5w,The Rise Eatery,4.0,49.2577101,-123.1391105
4340,1d-oYG7nS8d4j0nYiW0-wQ,Trilussa,4.5,49.2464617,-123.1014422
4497,_Gu7bhGgNSChWHnNyLOSHQ,Rocky Mountain Flatbread,4.0,49.2704812,-123.1472938
4624,-d473gtB7sazHlWu_1a2CA,49th Parallel Coffee,4.0,49.2860544973,-123.1229372446
4626,YW50TOgWZ925ojZcYPZNhQ,The Tipper Restaurant & Review Room,4.0,49.2444802,-123.0644541
4635,WAKwis2gWtNjRqFGkgwORw,AnnaLena,4.5,49.2708261,-123.1467714
