,business_id,name,stars,latitude,longitude
2130,pJge_LJ3NV8iQtrERe6AyQ,Indian Roti Kitchen,4.5,49.2590241,-123.1153551
510,usO5eH44mmub9p_pH95OkQ,Delhi 6 Indian Bistro,4.5,49.2652347,-123.1449675
3521,jOZ6AKjTuOWZ7tUabuZq9A,Mirchi Restaurant,4.5,49.2135408,-123.1401399
681,uuQse7YxCrnedtJh9gKgpg,Indian Fusion Restaurant,4.5,49.3279866,-123.0724282
1338,cp6Bq3-VcearblmgKK1rBQ,Dosa Corner,4.5,49.2097506,-123.0908287
1649,R47URO-i0MvfgKvD3sINow,Lazzez's Grill Indian Cuisine,4.5,49.2773553,-122.8047918
108,_Ief3C6t-930SBuwvVuDAQ,Tasty Indian Bistro,4.5,49.1545199,-122.8905009
2807,9R4vBq3BUYom9geOTiFs0w,East Is East,4.0,49.2643887,-123.1726934
3983,dR3UkEvdjJ5fAec0ScMQvg,Salam Bombay,4.0,49.2840226346,-123.1218401661
3588,ytp2-sO-na8NyLK9I2QX2g,Green Lettuce Indian Style Chinese Restaurant,4.0,49.2457947,-123.0659378
3511,m1SJ6Nn7i-gKZETlf8AoOw,Indian Bombay Bistro,4.0,49.2231570511,-122.9326033619
3434,xzxi_8_UnznXPOr1p5Fl_A,Apna Chaat House,4.0,49.139607,-122.890066
3421,18aIKschS0rNDNr0sXWtww,Davie Dosa Company,4.0,49.282163,-123.133735
2907,BdsPT4VZtbJeozhrcgk4XA,Agra Tandoori Restaurant,4.0,49.2544359,-123.0200503
93,VCiopspKLHelqobEsSeNxw,House of Dosas,4.0,49.250466,-123.0763251
2597,UwQyc3prSQp3pnvdSSmlaQ,Tasty Indian Bistro,4.0,49.2743171,-123.1239687
2391,afIFneEf68Td1m3QCCzy0g,Chili Pepper House,4.0,49.2362803934,-123.0417118816
2129,mKp5lyy0GTV0hGNEkuwuQQ,East is East,4.0,49.2453529,-123.101476
1164,eqpBdNm-UtMIsodfxLU7MA,Spicy 6 Fine Indian Cuisine,4.0,49.284819,-123.125714
630,l3Uni57g7J1N7WvAKEzbMg,Dosa Factory,4.0,49.251,-123.07699
437,raZ-NDBs9S1j9fPONh4fWw,Vij's Restaurant,4.0,49.2575375,-123.1147884
119,QxNVmWT2UXjbJrYuOqlCMQ,Tandoori Fusion,4.0,49.2639679,-123.1695571
4148,Z97LdaraBqS6lMlgt89IiA,Raga Restaurant,4.0,49.263478,-123.130517
